# built_at: 2026-09-21T14:52:58+0200
# source_path: /Users/nagi/dev/03-mnbrain/mnbrain_db/mnbrain_dup_one_empt.db
# source_sha256: dd651aa53e26e364a39ee1ccf5a171dadf40ebe9be1bca1157440eb1f6b18c04
# tool: build_translit_db.py
# tool_version: 1.1.0
# config: {"dedupe": true, "dry_run": false, "export_tsv": null, "export_tsv_xz": "builds_tsv/01_kv.tsv.xz", "index_mn": true, "lowercase_mn": false, "nfc": false, "output": "mn2mb.db", "overwrite": true, "page_size": 4096, "schema": "kv", "source": "../../mnbrain_db/mnbrain_dup_one_empt.db", "strip_variation_selectors": false, "tsv_header": true, "tsv_multi_sep": "|", "tsv_only": true, "tsv_sort": "mn", "tsv_xz_preset": "9e", "vacuum": true, "without_rowid": false}
# counts: {"elapsed_seconds": 0.02, "normalized": 21326, "raw": 21326, "written": 21133}
# columns: mn	mb
Хавсралт	ᠬᠠᠪᠰᠤᠷᠤᠯᠲᠠ
Хавчаар	ᠬᠠᠪᠴᠢᠶᠠᠷᠢ
Хонгорзул	ᠬᠣᠩᠭᠤᠷᠵᠤᠯᠠ
Хорват	ᠾᠣᠷᠸᠠᠲ
Хуурмаг	ᠬᠠᠭᠤᠷᠮᠠᠭ
Хэрэглээ	ᠬᠡᠷᠡᢉᠯᠡᢉᠡ
Хяналт	ᠬᠢᠨᠠᠯᠲᠠ
Хятад	ᠬᠢᠲᠠᠳ
Хүрд	ᠬᠦᠷᠳ᠋
Хөвөх	ᠬᠥᠪᠬᠦ
Хөндөл	ᠬᠥᠨᠳᠡᠯᠢ
Хөтөлбөр	ᠬᠥᠲᠦᠯᠪᠦᠷᠢ
Цамхаг	ᠴᠠᠮᠬᠠᠭ
Цезарь	ᠼᠧᠽᠠᠷᠢ
Чех	ᠴᠧᠾ
Чили	ᠴᠢᠯᠢ
Чилийн	ᠴᠢᠯᠢᠶᠢᠨ
Чиргүүл	ᠴᠢᠷᢉᠡᠦᠯ
Швед	ᠱᠸᠧᠳ᠋
Швейцар	ᠱᠸᠢᠼᠠᠷ
Шотланд	ᠱᠣᠲ᠋ᠯᠠᠨᠳ᠋
Эквадор	ᠧᠻᠸᠠᠳ᠋ᠣᠷ
Энэтхэг	ᠡᠨᠡᠳᠬᠡᢉ
Эрхүү	ᠡᠷᠬᠡᠦ
Эстон	ᠧᠰᠲᠣᠨ᠋
Юникод	ᠶᠦᠨᠢᠻᠣᠳ᠋
Юүлэх	ᠶᠡᢉᠦᠯᠡᠬᠦ
Явагтун	ᠶᠠᠪᠤᠭᠲᠤᠨ
Якут	ᠶᠠᠻᠦ᠋ᠲ
Япон	ᠶᠠᠫᠣᠨ᠋
аа	ᠠ
аав	ᠠᠪᠤ
ааг	ᠠᠭᠠᠭ
аагархаг	ᠠᠭᠠᠭᠠᠷᠬᠠᠭ
аагим	ᠠᠭᠠᢉᠢᠮ᠎ᠠ
аагих	ᠠᠭᠠᢉᠢᠬᠤ
ааглаг	ᠠᠭᠠᠭᠯᠢᠭ
ааглагдах	ᠠᠭᠠᠭᠯᠠᠭᠳᠠᠬᠤ
ааглах	ᠠᠭᠠᠭᠯᠠᠬᠤ
ааглуу	ᠠᠭᠠᠭᠯᠠᠭᠤ
аагтай	ᠠᠭᠠᠭᠲᠠᠢ
аадар	ᠠᠭᠠᠳᠠᠷ
аадарлах	ᠠᠭᠠᠳᠠᠷᠯᠠᠬᠤ
аадгар	ᠠᠭᠠᠳᠠᠭᠠᠷ
ааживтар	ᠠᠭᠠᠵᠢᠪᠲᠤᠷ
аажим	ᠠᠭᠠᠵᠢᠮ
аажимдаа	ᠠᠭᠠᠵᠢᠮᠳᠠᠭ᠎ᠠ
аажимсах	ᠠᠭᠠᠵᠢᠮᠠᠰᠬᠤ
аажимсгах	ᠠᠭᠠᠵᠢᠮᠠᠰᠬᠠᠬᠤ
аажимхан	ᠠᠭᠠᠵᠢᠮᠬᠠᠨ
аажуу	ᠠᠭᠠᠵᠢᠭᠤ
аажуудах	ᠠᠭᠠᠵᠢᠭᠤᠳᠠᠬᠤ
аажуурал	ᠠᠭᠠᠵᠢᠭᠤᠷᠠᠯ
аажуурах	ᠠᠭᠠᠵᠢᠭᠤᠷᠠᠬᠤ
аажуурсан	ᠠᠭᠠᠵᠢᠭᠤᠷᠠᠭᠰᠠᠨ
аажууруулагч	ᠠᠭᠠᠵᠢᠭᠤᠷᠠᠭᠤᠯᠤᠭᠴᠢ
аажууруулах	ᠠᠭᠠᠵᠢᠭᠤᠷᠠᠭᠤᠯᠬᠤ
аажуусгагч	ᠠᠭᠠᠵᠢᠭᠤᠰᠬᠠᠭᠴᠢ
аажуусгах	ᠠᠭᠠᠵᠢᠭᠤᠰᠬᠠᠬᠤ
аажуутах	ᠠᠭᠠᠵᠢᠭᠤᠳᠬᠤ
аажуухан	ᠠᠭᠠᠵᠢᠭᠤᠬᠠᠨ
аазайх	ᠠᠭᠠᠵᠠᠶᠢᠬᠤ
аазгай	ᠠᠭᠠᠵᠠᠭᠠᠢ
аазгар	ᠠᠭᠠᠵᠠᠭᠠᠷ
аалз	ᠠᠭᠠᠯᠵᠢ
ааль	ᠠᠭᠠᠯᠢ
аальгүйвтэр	ᠠᠭᠠᠯᠢᢉᠦᠶᠢᠪᠲᠦᠷ
аальгүйтэл	ᠠᠭᠠᠯᠢᢉᠦᠶᠢᠲᠦᠯ
